,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
82,Madrid,2024-05-29,1,176.0,4.70,10,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,7.5,7.0,7.5,5.25,8.75,3.75
83,Madrid,2024-05-29,1,132.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
84,Madrid,2024-05-29,1,193.0,4.63,19,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
85,Madrid,2024-05-29,1,254.0,,,,20.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
86,Madrid,2024-05-29,1,320.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
87,Madrid,2024-05-29,1,202.0,4.84,19,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
88,Madrid,2024-05-29,1,176.0,4.75,20,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,7.5,7.0,7.5,5.25,8.75,3.75
89,Madrid,2024-05-29,1,202.0,4.72,46,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
90,Madrid,2024-05-29,1,193.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
91,Madrid,2024-05-29,1,251.0,3.40,5,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
92,Madrid,2024-05-29,1,176.0,4.41,56,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
93,Madrid,2024-05-29,1,193.0,4.52,33,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
